"","id","name","gender","birthdate","birthplace","deathdate","deathplace","category","year","share","overallmotivation","motivation","affiliations","adjustedBirthdate","decadeFloor","decadeCeiling"
"192",905,"Edvard I. Moser","male","1962-04-27","Ålesund Norway","","","Physiology or Medicine",2014,"1/4","","for their discoveries of cells that constitute a positioning system in the brain","Norwegian University of Science and Technology (NTNU); Trondheim Norway",1962-04-27,2010,2019
"193",336,"Edward A. Doisy","male","1893-11-13","Hume IL USA","1986-10-23","St. Louis MO USA","Physiology or Medicine",1943,"1/2","","for his discovery of the chemical nature of vitamin K","Saint Louis University; St. Louis MO USA",1893-11-13,1940,1949
"194",452,"Edward B. Lewis","male","1918-05-20","Wilkes-Barre PA USA","2004-07-21","Pasadena CA USA","Physiology or Medicine",1995,"1/3","","for their discoveries concerning the genetic control of early embryonic development","California Institute of Technology (Caltech); Pasadena CA USA",1918-05-20,1990,1999
"195",349,"Edward C. Kendall","male","1886-03-08","South Norwalk CT USA","1972-05-04","Princeton NJ USA","Physiology or Medicine",1950,"1/3","","for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects","Mayo Clinic; Rochester MN USA",1886-03-08,1950,1959
"196",787,"Edward C. Prescott","male","1940-12-26","Glens Falls NY USA","","","Economic Sciences",2004,"1/2","","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles","Arizona State University; Tempe AZ USA; Federal Reserve Bank of Minneapolis; Minneapolis MN USA",1940-12-26,2000,2009
"197",365,"Edward Tatum","male","1909-12-14","Boulder CO USA","1975-11-05","New York NY USA","Physiology or Medicine",1958,"1/4","","for their discovery that genes act by regulating definite chemical events","Rockefeller Institute for Medical Research; New York NY USA",1909-12-14,1950,1959
"198",52,"Edward V. Appleton","male","1892-09-06","Bradford United Kingdom","1965-04-21","Edinburgh Scotland","Physics",1947,"1","","for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer","Department of Scientific and Industrial Research; London United Kingdom",1892-09-06,1940,1949
"199",447,"Edwin G. Krebs","male","1918-06-06","Lansing IA USA","2009-12-21","Seattle WA USA","Physiology or Medicine",1992,"1/2","","for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism","University of Washington; Seattle WA USA",1918-06-06,1990,1999
"200",212,"Edwin M. McMillan","male","1907-09-18","Redondo Beach CA USA","1991-09-07","El Cerrito CA USA","Chemistry",1951,"1/2","","for their discoveries in the chemistry of the transuranium elements","University of California; Berkeley CA USA",1907-09-18,1950,1959
"201",348,"Egas Moniz","male","1874-11-29","Avanca Portugal","1955-12-13","Lisbon Portugal","Physiology or Medicine",1949,"1/2","","for his discovery of the therapeutic value of leucotomy in certain psychoses","University of Lisbon; Lisbon Portugal; Neurological Institute; Lisbon Portugal",1874-11-29,1940,1949
"202",852,"Ei-ichi Negishi","male","1935-07-14","Changchun China","","","Chemistry",2010,"1/3","","for palladium-catalyzed cross couplings in organic synthesis","Purdue University; West Lafayette IN USA",1935-07-14,2010,2019
"203",533,"Eisaku Sato","male","1901-03-27","Tabuse Japan","1975-06-03","Tokyo Japan","Peace",1974,"1/2","","for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty","",1901-03-27,1970,1979
"204",782,"Elfriede Jelinek","female","1946-10-20","Mürzzuschlag Austria","","","Literature",2004,"1","","for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power","",1946-10-20,2000,2009
"205",658,"Elias Canetti","male","1905-07-25","Ruse Bulgaria","1994-08-14","Zurich Switzerland","Literature",1981,"1","","for writings marked by a broad outlook a wealth of ideas and artistic power","",1905-07-25,1980,1989
"206",275,"Elias James Corey","male","1928-07-12","Methuen MA USA","","","Chemistry",1990,"1","","for his development of the theory and methodology of organic synthesis","Harvard University; Cambridge MA USA",1928-07-12,1990,1999
"207",464,"Élie Ducommun","male","1833-02-19","Geneva Switzerland","1906-12-07","Bern Switzerland","Peace",1902,"1/2","","for his untiring and skilful directorship of the Bern Peace Bureau","",1833-02-19,1900,1909
"208",548,"Elie Wiesel","male","1928-09-30","Sighet Romania","2016-07-02","New York NY USA","Peace",1986,"1","","for being a messenger to mankind: his message is one of peace atonement and dignity","",1928-09-30,1980,1989
"209",480,"Elihu Root","male","1845-02-15","Clinton NY USA","1937-02-07","New York NY USA","Peace",1912,"1","","for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries","",1845-02-15,1910,1919
"210",846,"Elinor Ostrom","female","1933-08-07","Los Angeles CA USA","2012-06-12","Bloomington IN USA","Economic Sciences",2009,"1/2","","for her analysis of economic governance especially the commons","Indiana University; Bloomington IN USA; Arizona State University; Tempe AZ USA",1933-08-07,2000,2009
"211",835,"Elizabeth H. Blackburn","female","1948-11-26","Hobart Tasmania Australia","","","Physiology or Medicine",2009,"1/3","","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase","University of California; San Francisco CA USA",1948-11-26,2000,2009
"212",869,"Ellen Johnson Sirleaf","female","1938-10-29","Monrovia Liberia","","","Peace",2011,"1/3","","for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work","",1938-10-29,2010,2019
"213",161,"Emil Fischer","male","1852-10-09","Euskirchen Prussia (now Germany)","1919-07-15","Berlin Germany","Chemistry",1902,"1","","in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses","Berlin University; Berlin Germany",1852-10-09,1900,1909
"214",293,"Emil von Behring","male","1854-03-15","Hansdorf Prussia (now Lawice Poland)","1917-03-31","Marburg Germany","Physiology or Medicine",1901,"1","","for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths","Marburg University; Marburg Germany",1854-03-15,1900,1909
"215",72,"Emilio Segrè","male","1905-02-01","Tivoli Italy","1989-04-22","Lafayette CA USA","Physics",1959,"1/2","","for their discovery of the antiproton","University of California; Berkeley CA USA",1905-02-01,1950,1959
"216",506,"Emily Greene Balch","female","1867-01-08","Jamaica Plain MA (now Boston MA) USA","1961-01-09","Cambridge MA USA","Peace",1946,"1/2","","for her lifelong work for the cause of peace","",1867-01-08,1940,1949
"217",991,"Emmanuelle Charpentier","female","1968-12-11","Juvisy-sur-Orge France","","","Chemistry",2020,"1/2","","for the development of a method for genome editing","Max Planck Unit for the Science of Pathogens; Berlin Germany",1968-12-11,2020,2029
"218",46,"Enrico Fermi","male","1901-09-29","Rome Italy","1954-11-28","Chicago IL USA","Physics",1938,"1","","for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons","Rome University; Rome Italy",1901-09-29,1930,1939
"219",909,"Eric Betzig","male","1960-01-13","Ann Arbor MI USA","","","Chemistry",2014,"1/3","","for the development of super-resolved fluorescence microscopy","Janelia Research Campus Howard Hughes Medical Institute; Ashburn VA USA",1960-01-13,2010,2019
"220",738,"Eric Cornell","male","1961-12-19","Palo Alto CA USA","","","Physics",2001,"1/3","","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates","University of Colorado JILA; Boulder CO USA",1961-12-19,2000,2009
"221",454,"Eric F. Wieschaus","male","1947-06-08","South Bend IN USA","","","Physiology or Medicine",1995,"1/3","","for their discoveries concerning the genetic control of early embryonic development","Princeton University; Princeton NJ USA",1947-06-08,1990,1999
"222",724,"Eric Kandel","male","1929-11-07","Vienna Austria","","","Physiology or Medicine",2000,"1/3","","for their discoveries concerning signal transduction in the nervous system","Columbia University; New York NY USA",1929-11-07,2000,2009
"223",821,"Eric S. Maskin","male","1950-12-12","New York NY USA","","","Economic Sciences",2007,"1/3","","for having laid the foundations of mechanism design theory","Institute for Advanced Study; Princeton NJ USA",1950-12-12,2000,2009
"224",604,"Erik Axel Karlfeldt","male","1864-07-20","Karlbo Sweden","1931-04-08","Stockholm Sweden","Literature",1931,"1","","The poetry of Erik Axel Karlfeldt","",1864-07-20,1930,1939
"225",625,"Ernest Hemingway","male","1899-07-21","Oak Park IL USA","1961-07-02","Ketchum ID USA","Literature",1954,"1","","for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style","",1899-07-21,1950,1959
"226",47,"Ernest Lawrence","male","1901-08-08","Canton SD USA","1958-08-27","Palo Alto CA USA","Physics",1939,"1","","for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements","University of California; Berkeley CA USA",1901-08-08,1930,1939
"227",167,"Ernest Rutherford","male","1871-08-30","Nelson New Zealand","1937-10-19","Cambridge United Kingdom","Chemistry",1908,"1","","for his investigations into the disintegration of the elements and the chemistry of radioactive substances","Victoria University; Manchester United Kingdom",1871-08-30,1900,1909
"228",57,"Ernest T.S. Walton","male","1903-10-06","Dungarvan Ireland","1995-06-25","Belfast Northern Ireland","Physics",1951,"1/2","","for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles","Trinity College; Dublin Ireland",1903-10-06,1950,1959
"229",471,"Ernesto Teodoro Moneta","male","1833-09-20","Milan Austrian Empire (now Italy)","1918-02-10","Milan Italy","Peace",1907,"1/2","","for his work in the press and in peace meetings both public and private for an understanding between France and Italy","",1833-09-20,1900,1909
"230",340,"Ernst B. Chain","male","1906-06-19","Berlin Germany","1979-08-12","Mulrany Ireland","Physiology or Medicine",1945,"1/3","","for the discovery of penicillin and its curative effect in various infectious diseases","University of Oxford; Oxford United Kingdom",1906-06-19,1940,1949
"231",244,"Ernst Otto Fischer","male","1918-11-10","Munich Germany","2007-07-23","Munich Germany","Chemistry",1973,"1/2","","for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds","Technical University; Munich Germany",1918-11-10,1970,1979
"232",127,"Ernst Ruska","male","1906-12-25","Heidelberg Germany","1988-05-27","West Berlin Germany","Physics",1986,"1/2","","for his fundamental work in electron optics and for the design of the first electron microscope","Fritz-Haber-Institut der Max-Planck-Gesellschaft; Berlin Germany",1906-12-25,1980,1989
"233",444,"Erwin Neher","male","1944-03-20","Landsberg Germany","","","Physiology or Medicine",1991,"1/2","","for their discoveries concerning the function of single ion channels in cells","Max-Planck-Institut für Biophysikalische Chemie; Göttingen Germany",1944-03-20,1990,1999
"234",39,"Erwin Schrödinger","male","1887-08-12","Vienna Austria","1961-01-04","Vienna Austria","Physics",1933,"1/2","","for the discovery of new productive forms of atomic theory","Berlin University; Berlin Germany",1887-08-12,1930,1939
"235",983,"Esther Duflo","female","1972-10-25","Paris France","","","Economic Sciences",2019,"1/3","","for their experimental approach to alleviating global poverty","Massachusetts Institute of Technology (MIT); Cambridge MA USA",1972-10-25,2010,2019
"236",894,"Eugene F. Fama","male","1939-02-14","Boston MA USA","","","Economic Sciences",2013,"1/3","","for their empirical analysis of asset prices","University of Chicago; Chicago IL USA",1939-02-14,2010,2019
"237",608,"Eugene O'Neill","male","1888-10-16","New York NY USA","1953-11-27","Boston MA USA","Literature",1936,"1","","for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy","",1888-10-16,1930,1939
"238",78,"Eugene Wigner","male","1902-11-17","Budapest Austria-Hungary (now Hungary)","1995-01-01","Princeton NJ USA","Physics",1963,"1/2","","for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles","Princeton University; Princeton NJ USA",1902-11-17,1960,1969
"239",651,"Eugenio Montale","male","1896-10-12","Genoa Italy","1981-09-12","Milan Italy","Literature",1975,"1","","for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions","",1896-10-12,1970,1979
"240",881,"European Union (EU)","org","1952-00-00","N/A","","","Peace",2012,"1","","for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe","",1952-01-01,2010,2019
"241",649,"Eyvind Johnson","male","1900-07-29","Svartbjörnsbyn Sweden","1976-08-25","Stockholm Sweden","Literature",1974,"1/2","","for a narrative art far-seeing in lands and ages in the service of freedom","",1900-07-29,1970,1979
"242",929,"F. Duncan M. Haldane","male","1951-09-14","London United Kingdom","","","Physics",2016,"1/4","","for theoretical discoveries of topological phase transitions and topological phases of matter","Princeton University; Princeton NJ USA",1951-09-14,2010,2019
"243",283,"F. Sherwood Rowland","male","1927-06-28","Delaware OH USA","2012-03-10","Corona del Mar CA USA","Chemistry",1995,"1/3","","for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone","University of California; Irvine CA USA",1927-06-28,1990,1999
"244",556,"F.W. de Klerk","male","1936-03-18","Johannesburg South Africa","","","Peace",1993,"1/2","","for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new  democratic South Africa","",1936-03-18,1990,1999
"245",58,"Felix Bloch","male","1905-10-23","Zurich Switzerland","1983-09-10","Zurich Switzerland","Physics",1952,"1/2","","for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith","Stanford University; Stanford CA USA",1905-10-23,1950,1959
"246",379,"Feodor Lynen","male","1911-04-06","Munich Germany","1979-08-06","Munich Germany","Physiology or Medicine",1964,"1/2","","for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism","Max-Planck-Institut für Zellchemie; Munich Germany",1911-04-06,1960,1969
"247",14,"Ferdinand Braun","male","1850-06-06","Fulda Hesse-Kassel (now Germany)","1918-04-20","Brooklyn NY USA","Physics",1909,"1/2","","in recognition of their contributions to the development of wireless telegraphy","Strasbourg University; Strasbourg Germany (now France)",1850-06-06,1900,1909
"248",492,"Ferdinand Buisson","male","1841-12-20","Paris France","1932-02-16","Thieuloy-Saint-Antoine France","Peace",1927,"1/2","","for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation","",1841-12-20,1920,1929
"249",460,"Ferid Murad","male","1936-09-14","Whiting IN USA","","","Physiology or Medicine",1998,"1/3","","for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system","University of Texas Medical School at Houston; Houston TX USA",1936-09-14,1990,1999
"250",786,"Finn E. Kydland","male","1943-12-01","Gjesdal Norway","","","Economic Sciences",2004,"1/2","","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles","Carnegie Mellon University; Pittsburgh PA USA; University of California; Santa Barbara CA USA",1943-12-01,2000,2009
"251",963,"Frances H. Arnold","female","1956-07-25","Pittsburgh PA USA","","","Chemistry",2018,"1/2","","for the directed evolution of enzymes","California Institute of Technology (Caltech); Pasadena CA USA",1956-07-25,2010,2019
"252",372,"Francis Crick","male","1916-06-08","Northampton United Kingdom","2004-07-28","San Diego CA USA","Physiology or Medicine",1962,"1/3","","for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material","MRC Laboratory of Molecular Biology; Cambridge United Kingdom",1916-06-08,1960,1969
"253",180,"Francis W. Aston","male","1877-09-01","Harborne United Kingdom","1945-11-20","Cambridge United Kingdom","Chemistry",1922,"1","","for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule","University of Cambridge; Cambridge United Kingdom",1877-09-01,1920,1929
"254",699,"Franco Modigliani","male","1918-06-18","Rome Italy","2003-09-25","Cambridge MA USA","Economic Sciences",1985,"1","","for his pioneering analyses of saving and of financial markets","Massachusetts Institute of Technology (MIT); Cambridge MA USA",1918-06-18,1980,1989
"255",887,"François Englert","male","1932-11-06","Etterbeek Belgium","","","Physics",2013,"1/2","","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider","Université Libre de Bruxelles; Brussels Belgium",1932-11-06,2010,2019
"256",380,"François Jacob","male","1920-06-17","Nancy France","2013-04-19","Paris France","Physiology or Medicine",1965,"1/3","","for their discoveries concerning genetic control of enzyme and virus synthesis","Institut Pasteur; Paris France",1920-06-17,1960,1969
"257",623,"François Mauriac","male","1885-10-11","Bordeaux France","1970-09-01","Paris France","Literature",1952,"1","","for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life","",1885-10-11,1950,1959
"258",824,"Françoise Barré-Sinoussi","female","1947-07-30","Paris France","","","Physiology or Medicine",2008,"1/4","","for their discovery of human immunodeficiency virus","Regulation of Retroviral Infections Unit Virology Department Institut Pasteur; Paris France",1947-07-30,2000,2009
"259",494,"Frank B. Kellogg","male","1856-12-22","Potsdam NY USA","1937-12-21","St. Paul MN USA","Peace",1929,"1","","for his crucial role in bringing about the Briand-Kellogg Pact","",1856-12-22,1920,1929
"260",778,"Frank Wilczek","male","1951-05-15","New York NY USA","","","Physics",2004,"1/3","","for the discovery of asymptotic freedom in the theory of the strong interaction","Massachusetts Institute of Technology (MIT); Cambridge MA USA",1951-05-15,2000,2009
"261",613,"Frans Eemil Sillanpää","male","1888-09-16","Hämeenkyrö Russian Empire (now Finland)","1964-06-03","Helsinki Finland","Literature",1939,"1","","for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature","",1888-09-16,1930,1939
"262",193,"Frédéric Joliot","male","1900-03-19","Paris France","1958-08-14","Paris France","Chemistry",1935,"1/2","","in recognition of their synthesis of new radioactive elements","Institut du Radium; Paris France",1900-03-19,1930,1939
"263",573,"Frédéric Mistral","male","1830-09-08","Maillane France","1914-03-25","Maillane France","Literature",1904,"1/2","","in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist","",1830-09-08,1900,1909
"264",463,"Frédéric Passy","male","1822-05-20","Paris France","1912-06-12","Paris France","Peace",1901,"1/2","","for his lifelong work for international peace conferences diplomacy and arbitration","",1822-05-20,1900,1909
"265",358,"Frederick C. Robbins","male","1916-08-25","Auburn AL USA","2003-08-04","Cleveland OH USA","Physiology or Medicine",1954,"1/3","","for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue","Western Reserve University; Cleveland OH USA",1916-08-25,1950,1959
"266",313,"Frederick G. Banting","male","1891-11-14","Alliston Canada","1941-02-21","Newfoundland Canada","Physiology or Medicine",1923,"1/2","","for the discovery of insulin","University of Toronto; Toronto Canada",1891-11-14,1920,1929
"267",148,"Frederick Reines","male","1918-03-16","Paterson NJ USA","1998-08-26","Orange CA USA","Physics",1995,"1/2","for pioneering experimental contributions to lepton physics","for the detection of the neutrino","University of California; Irvine CA USA",1918-03-16,1990,1999
"268",222,"Frederick Sanger","male","1918-08-13","Rendcombe United Kingdom","2013-11-19","Cambridge United Kingdom","Chemistry",1958,"1","","for his work on the structure of proteins especially that of insulin","University of Cambridge; Cambridge United Kingdom",1918-08-13,1950,1959
"269",222,"Frederick Sanger","male","1918-08-13","Rendcombe United Kingdom","2013-11-19","Cambridge United Kingdom","Chemistry",1980,"1/4","","for their contributions concerning the determination of base sequences in nucleic acids","MRC Laboratory of Molecular Biology; Cambridge United Kingdom",1918-08-13,1980,1989
"270",179,"Frederick Soddy","male","1877-09-02","Eastbourne United Kingdom","1956-09-22","Brighton United Kingdom","Chemistry",1921,"1","","for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes","University of Oxford; Oxford United Kingdom",1877-09-02,1920,1929
"271",474,"Fredrik Bajer","male","1837-04-21","Næstved Denmark","1922-01-22","Copenhagen Denmark","Peace",1908,"1/2","","for their long time work for the cause of peace as politicians peace society leaders orators and authors","",1837-04-21,1900,1909
"272",487,"Fridtjof Nansen","male","1861-10-10","Kristiania (now Oslo) Norway","1930-05-13","Oslo Norway","Peace",1922,"1","","for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees","",1861-10-10,1920,1929
"273",190,"Friedrich Bergius","male","1884-10-11","Goldschmieden near Breslau Germany (now Poland)","1949-03-30","Buenos Aires Argentina","Chemistry",1931,"1/2","","in recognition of their contributions to the invention and development of chemical high pressure methods","University of Heidelberg; Heidelberg Germany; I.G. Farbenindustrie A.G.; Mannheim-Rheinau Germany",1884-10-11,1930,1939
"274",685,"Friedrich von Hayek","male","1899-05-08","Vienna Austria","1992-03-23","Freiburg Germany","Economic Sciences",1974,"1/2","","for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena","",1899-05-08,1970,1979
"275",508,"Friends Service Council","org","1647-00-00","London United Kingdom","","","Peace",1947,"1/2","","for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations","",1647-01-01,1940,1949
"276",60,"Frits Zernike","male","1888-07-16","Amsterdam the Netherlands","1966-03-10","Groningen the Netherlands","Physics",1953,"1","","for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope","Groningen University; Groningen the Netherlands",1888-07-16,1950,1959
"277",177,"Fritz Haber","male","1868-12-09","Breslau Prussia (now Wroclaw Poland)","1934-01-29","Basel Switzerland","Chemistry",1918,"1","","for the synthesis of ammonia from its elements","Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie; Berlin-Dahlem Germany",1868-12-09,1910,1919
"278",355,"Fritz Lipmann","male","1899-06-12","Koenigsberg Germany (now Kaliningrad Russia)","1986-07-24","Poughkeepsie NY USA","Physiology or Medicine",1953,"1/2","","for his discovery of co-enzyme A and its importance for intermediary metabolism","Harvard Medical School; Boston MA USA; Massachusetts General Hospital; Boston MA USA",1899-06-12,1950,1959
"279",181,"Fritz Pregl","male","1869-09-03","Laibach Austria-Hungary (now Ljubljana Slovenia)","1930-12-13","Graz Austria","Chemistry",1923,"1","","for his invention of the method of micro-analysis of organic substances","Graz University; Graz Austria",1869-09-03,1920,1929
"280",659,"Gabriel García Márquez","male","1927-03-06","Aracataca Colombia","2014-04-17","Mexico City Mexico","Literature",1982,"1","","for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts","",1927-03-06,1980,1989
"281",12,"Gabriel Lippmann","male","1845-08-16","Hollerich Luxembourg","1921-07-13","N/A","Physics",1908,"1","","for his method of reproducing colours photographically based on the phenomenon of interference","Sorbonne University; Paris France",1845-08-16,1900,1909
"282",615,"Gabriela Mistral","female","1889-04-07","Vicuña Chile","1957-01-10","Hempstead NY USA","Literature",1945,"1","","for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world","",1889-04-07,1940,1949
"283",734,"Gao Xingjian","male","1940-01-04","Ganzhou China","","","Literature",2000,"1","","for an &aelig;uvre of universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama","",1940-01-04,2000,2009
"284",708,"Gary Becker","male","1930-12-02","Pottsville PA USA","2014-05-03","Chicago IL USA","Economic Sciences",1992,"1","","for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour","University of Chicago; Chicago IL USA",1930-12-02,1990,1999
"285",245,"Geoffrey Wilkinson","male","1921-07-14","Todmorden United Kingdom","1996-09-26","London United Kingdom","Chemistry",1973,"1/2","","for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds","Imperial College; London United Kingdom",1921-07-14,1970,1979
"286",371,"Georg von Békésy","male","1899-06-03","Budapest Hungary","1972-06-13","Honolulu HI USA","Physiology or Medicine",1961,"1","","for his discoveries of the physical mechanism of stimulation within the cochlea","Harvard University; Cambridge MA USA",1899-06-03,1960,1969
"287",253,"Georg Wittig","male","1897-06-16","Berlin Germany","1987-08-26","Heidelberg West Germany (now Germany)","Chemistry",1979,"1/2","","for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis","University of Heidelberg; Heidelberg Germany",1897-06-16,1970,1979
"288",744,"George A. Akerlof","male","1940-06-17","New Haven CT USA","","","Economic Sciences",2001,"1/3","","for their analyses of markets with asymmetric information","University of California; Berkeley CA USA",1940-06-17,2000,2009
"289",280,"George A. Olah","male","1927-05-22","Budapest Hungary","2017-03-08","Los Angeles CA USA","Chemistry",1994,"1","","for his contribution to carbocation chemistry","University of Southern California; Los Angeles CA USA",1927-05-22,1990,1999
"290",364,"George Beadle","male","1903-10-22","Wahoo NE USA","1989-06-09","Pomona CA USA","Physiology or Medicine",1958,"1/4","","for their discovery that genes act by regulating definite chemical events","California Institute of Technology (Caltech); Pasadena CA USA",1903-10-22,1950,1959
"291",596,"George Bernard Shaw","male","1856-07-26","Dublin Ireland","1950-11-02","Ayot St. Lawrence United Kingdom","Literature",1925,"1","","for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty","",1856-07-26,1920,1929
"292",514,"George C. Marshall","male","1880-12-31","Uniontown PA USA","1959-10-16","Washington DC USA","Peace",1953,"1","","for proposing and supervising the plan for the economic recovery of Europe","",1880-12-31,1950,1959
"293",421,"George D. Snell","male","1903-12-19","Bradford MA USA","1996-06-06","Bar Harbor ME USA","Physiology or Medicine",1980,"1/3","","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions","Jackson Laboratory; Bar Harbor ME USA",1903-12-19,1980,1989
"294",201,"George de Hevesy","male","1885-08-01","Budapest Austria-Hungary (now Hungary)","1966-07-05","Freiburg im Breisgau West Germany (now Germany)","Chemistry",1943,"1","","for his work on the use of isotopes as tracers in the study of chemical processes","Stockholm University; Stockholm Sweden",1885-08-01,1940,1949
"295",405,"George E. Palade","male","1912-11-19","Iasi Romania","2008-10-07","Del Mar CA USA","Physiology or Medicine",1974,"1/3","","for their discoveries concerning the structural and functional organization of the cell","Yale University School of Medicine; New Haven CT USA",1912-11-19,1970,1979
"296",840,"George E. Smith","male","1930-05-10","White Plains NY USA","","","Physics",2009,"1/4","","for the invention of an imaging semiconductor circuit - the CCD sensor","Bell Laboratories; Murray Hill NJ USA",1930-05-10,2000,2009
"297",805,"George F. Smoot","male","1945-02-20","Yukon FL USA","","","Physics",2006,"1/2","","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation","University of California; Berkeley CA USA",1945-02-20,2000,2009
"298",439,"George H. Hitchings","male","1905-04-18","Hoquiam WA USA","1998-02-27","Chapel Hill NC USA","Physiology or Medicine",1988,"1/3","","for their discoveries of important principles for drug treatment","Wellcome Research Laboratories; Research Triangle Park NC USA",1905-04-18,1980,1989
"299",326,"George H. Whipple","male","1878-08-28","Ashland NH USA","1976-02-01","Rochester NY USA","Physiology or Medicine",1934,"1/3","","for their discoveries concerning liver therapy in cases of anaemia","University of Rochester; Rochester NY USA",1878-08-28,1930,1939
"300",696,"George J. Stigler","male","1911-01-17","Renton WA USA","1991-12-01","Chicago IL USA","Economic Sciences",1982,"1","","for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation","University of Chicago; Chicago IL USA",1911-01-17,1980,1989
"301",964,"George P. Smith","male","1941-03-10","Norwalk CT USA","","","Chemistry",2018,"1/4","","for the phage display of peptides and antibodies","University of Missouri; Columbia USA",1941-03-10,2010,2019
"302",45,"George Paget Thomson","male","1892-05-03","Cambridge United Kingdom","1975-09-10","Cambridge United Kingdom","Physics",1937,"1/2","","for their experimental discovery of the diffraction of electrons by crystals","London University; London United Kingdom",1892-05-03,1930,1939
"303",235,"George Porter","male","1920-12-06","Stainforth United Kingdom","2002-08-31","Canterbury United Kingdom","Chemistry",1967,"1/4","","for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy","Royal Institution of Great Britain; London United Kingdom",1920-12-06,1960,1969
"304",327,"George R. Minot","male","1885-12-02","Boston MA USA","1950-02-25","Brookline MA USA","Physiology or Medicine",1934,"1/3","","for their discoveries concerning liver therapy in cases of anaemia","Harvard University; Cambridge MA USA",1885-12-02,1930,1939
"305",387,"George Wald","male","1906-11-18","New York NY USA","1997-04-12","Cambridge MA USA","Physiology or Medicine",1967,"1/3","","for their discoveries concerning the primary physiological and chemical visual processes in the eye","Harvard University; Cambridge MA USA",1906-11-18,1960,1969
